Date,Category,Subcategory,Description,Amount,Income
2024-02-05,Savings/Investments,Retirement,IRA deposit,131.78,80314.7
2024-02-06,Savings/Investments,Investments,Mutual fund purchase,265.03,16246.260000000002
2024-02-06,Education,Tuition,University tuition payment,232.14,63035.13
2024-02-08,Housing,Rent,Rent for apartment,280.83,19142.030000000002
2024-02-08,Savings/Investments,Retirement,IRA deposit,173.3,19142.030000000002
2024-02-08,Education,Supplies,School stationery,194.49,76773.59999999999
2024-02-08,Food,Groceries,Fresh produce purchase,50.55,105218.23
2024-02-10,Transportation,Public Transit,Monthly transit pass,59.47,7418.27
2024-02-10,Transportation,Ride Services,Lyft trip,250.82,16246.260000000002
2024-02-10,Miscellaneous,Travel,Travel insurance,175.8,76773.59999999999
2024-02-11,Shopping,Home Goods,Kitchenware purchase,268.76,33346.05
2024-02-11,Housing,Rent,Rent for apartment,243.64,52220.08
2024-02-11,Savings/Investments,Emergency Fund,Transfer to emergency savings,63.51,80314.7
2024-02-11,Miscellaneous,Pet Expenses,Pet food purchase,166.65,92054.32999999999
2024-02-11,Personal,Fitness,Gym membership fee,220.98,98146.84999999999
2024-02-11,Entertainment,Movies/Events,Movie tickets,158.5,105218.23
2024-02-12,Miscellaneous,Pet Expenses,Pet grooming,112.71,19142.030000000002
2024-02-12,Debt Payments,Credit Card,Credit card bill payment,299.35,19142.030000000002
2024-02-12,Food,Dining Out,Dinner at McDonald's,200,69472.56
2024-02-12,Savings/Investments,Retirement,IRA deposit,254.66,69472.56
2024-02-12,Food,Dining Out,Lunch at McDonald's,226.08,92054.32999999999
2024-02-13,Transportation,Fuel,Gas station fill-up,223.42,7418.27
2024-02-14,Miscellaneous,Donations,Crowdfunding contribution,169.83,37738.840000000004
2024-02-14,Savings/Investments,Emergency Fund,Transfer to emergency savings,96.16,63035.13
2024-02-14,Personal,Grooming,Manicure/Pedicure,183.58,80314.7
2024-02-15,Savings/Investments,Investments,Mutual fund purchase,199.3,69472.56
2024-02-15,Entertainment,Hobbies,Video game purchase,192.77,105218.23
2024-02-15,Food,Dining Out,Lunch at McDonald's,182.89,105218.23
2024-02-15,Shopping,Electronics,Laptop upgrade,260.78,105218.23
2024-02-16,Entertainment,Subscriptions,Netflix monthly fee,112.64,63035.13
2024-02-16,Savings/Investments,Retirement,401(k) contribution,176.46,92054.32999999999
2024-02-16,Education,Tuition,Online course fee,294.31,92054.32999999999
2024-02-17,Food,Groceries,Fresh produce purchase,218.72,25457.760000000002
2024-02-17,Entertainment,Movies/Events,Movie tickets,205.12,30554.81
2024-02-18,Entertainment,Subscriptions,Spotify subscription,244.41,27950.58
2024-02-18,Education,Books,E-book download,196.15,33346.05
2024-02-19,Housing,Utilities,Phone bill,102.45,25457.760000000002
2024-02-19,Entertainment,Subscriptions,Amazon Prime renewal,181.67,55101.43
2024-02-19,Debt Payments,Loans,Personal loan installment,101.8,63035.13
2024-02-19,Transportation,Fuel,Electric car charging,183.73,92054.32999999999
2024-02-21,Debt Payments,Loans,Personal loan installment,177.69,25457.760000000002
2024-02-21,Entertainment,Subscriptions,Amazon Prime renewal,85.59,98146.84999999999
2024-02-23,Debt Payments,Loans,Car loan monthly payment,263.51,7418.27
2024-02-24,Education,Books,Textbook purchase,294.22,76773.59999999999
2024-02-24,Debt Payments,Credit Card,Credit card bill payment,253.2,80314.7
2024-02-25,Entertainment,Movies/Events,Theater show,184.53,7418.27
2024-02-25,Education,Books,Textbook purchase,284.42,25457.760000000002
2024-02-25,Food,Dining Out,Dinner at McDonald's,200,27950.58
2024-02-28,Income,Salary,Income for the day,2604.23,2604.23
2024-02-28,Healthcare,Pharmacy,Over-the-counter medicines,252.48,52220.08
2024-02-28,Housing,Utilities,Water bill,214.13,52220.08
2024-02-29,Food,Dining Out,Quick bite at McDonald's,194.32,98146.84999999999
2024-02-29,Transportation,Fuel,Electric car charging,105.0,105218.23
2024-03-02,Housing,Mortgage,Monthly mortgage payment,213.95,52220.08
2024-03-03,Food,Groceries,Weekly grocery shopping,119.93,7418.27
2024-03-03,Savings/Investments,Investments,Stock market investment,104.38,7418.27
2024-03-03,Personal,Grooming,Spa treatment,95.59,76773.59999999999
2024-03-03,Education,Supplies,School stationery,175.57,105218.23
2024-03-04,Personal,Fitness,Gym membership fee,92.05,98146.84999999999
2024-03-05,Healthcare,Insurance,Health insurance premium,282.08,69472.56
2024-03-06,Shopping,Gifts,Holiday shopping,73.92,76773.59999999999
2024-03-06,Food,Groceries,Weekly grocery shopping,253.33,84736.65
2024-03-06,Debt Payments,Credit Card,Credit card bill payment,229.0,98146.84999999999
2024-03-07,Income,Rental income,Income for the day,7317.68,7317.68
2024-03-08,Education,Books,Textbook purchase,97.87,30554.81
2024-03-08,Personal,Clothing,New work outfit,88.73,69472.56
2024-03-09,Transportation,Public Transit,Subway ticket,68.97,12017.900000000001
2024-03-09,Personal,Clothing,New work outfit,99.99,30554.81
2024-03-09,Entertainment,Subscriptions,Spotify subscription,207.06,80314.7
2024-03-11,Personal,Fitness,Gym membership fee,235.9,7418.27
2024-03-11,Savings/Investments,Retirement,IRA deposit,285.67,98146.84999999999
2024-03-12,Shopping,Electronics,Smart home device,121.7,16246.260000000002
2024-03-12,Miscellaneous,Pet Expenses,Pet food purchase,266.49,80314.7
2024-03-13,Housing,Mortgage,Monthly mortgage payment,242.14,45332.91
2024-03-14,Savings/Investments,Investments,Mutual fund purchase,276.6,12017.900000000001
2024-03-14,Food,Groceries,Weekly grocery shopping,262.0,55101.43
2024-03-14,Education,Supplies,School stationery,269.28,76773.59999999999
2024-03-14,Entertainment,Hobbies,Book buying,194.93,105218.23
2024-03-15,Entertainment,Subscriptions,Netflix monthly fee,267.53,98146.84999999999
2024-03-16,Entertainment,Hobbies,Video game purchase,213.53,7418.27
2024-03-18,Transportation,Public Transit,Monthly transit pass,142.49,25457.760000000002
2024-03-18,Transportation,Fuel,Electric car charging,158.16,33346.05
2024-03-20,Transportation,Ride Services,Lyft trip,285.21,7418.27
2024-03-20,Income,Freelance work,Income for the day,2881.35,2881.35
2024-03-21,Personal,Grooming,Manicure/Pedicure,209.42,16246.260000000002
2024-03-21,Healthcare,Insurance,Health insurance premium,215.17,76773.59999999999
2024-03-22,Food,Dining Out,Dinner at McDonald's,200,7418.27
2024-03-22,Savings/Investments,Retirement,401(k) contribution,151.16,45332.91
2024-03-22,Entertainment,Subscriptions,Amazon Prime renewal,100.88,76773.59999999999
2024-03-22,Personal,Clothing,Shoes shopping,264.52,105218.23
2024-03-23,Entertainment,Subscriptions,Netflix monthly fee,275.85,33346.05
2024-03-23,Healthcare,Insurance,Health insurance premium,196.63,76773.59999999999
2024-03-23,Savings/Investments,Emergency Fund,Rainy day fund deposit,189.84,105218.23
2024-03-24,Miscellaneous,Pet Expenses,Veterinary check-up,141.52,16246.260000000002
2024-03-24,Healthcare,Doctor Visits,Annual check-up,289.91,19142.030000000002
2024-03-24,Debt Payments,Loans,Personal loan installment,217.93,45332.91
2024-03-24,Entertainment,Subscriptions,Netflix monthly fee,143.07,84736.65
2024-03-24,Personal,Fitness,Yoga class,146.82,92054.32999999999
2024-03-24,Education,Books,Textbook purchase,61.84,105218.23
2024-03-25,Income,Investment returns,Income for the day,6315.73,6315.73
2024-03-25,Miscellaneous,Travel,Travel insurance,252.19,45332.91
2024-03-25,Transportation,Fuel,Electric car charging,182.14,69472.56
2024-03-26,Shopping,Home Goods,Home decor items,115.23,69472.56
2024-03-26,Personal,Fitness,Gym membership fee,127.69,84736.65
2024-03-27,Education,Supplies,Laptop for studies,283.71,37738.840000000004
2024-03-27,Miscellaneous,Travel,Flight tickets,253.74,55101.43
2024-03-27,Income,Freelance work,Income for the day,4421.95,4421.95
2024-03-27,Savings/Investments,Retirement,IRA deposit,254.21,92054.32999999999
2024-03-29,Entertainment,Hobbies,Art supplies,255.7,37738.840000000004
2024-03-29,Transportation,Fuel,Gas station fill-up,52.42,84736.65
2024-03-29,Food,Dining Out,Dinner at McDonald's,200,98146.84999999999
2024-03-30,Debt Payments,Credit Card,Card balance transfer,88.06,63035.13
2024-03-31,Housing,Mortgage,Home loan installment,181.43,12017.900000000001
2024-03-31,Shopping,Home Goods,Home decor items,274.33,63035.13
2024-03-31,Savings/Investments,Emergency Fund,Transfer to emergency savings,75.09,63035.13
2024-04-01,Shopping,Home Goods,Kitchenware purchase,184.48,52220.08
2024-04-01,Personal,Grooming,Manicure/Pedicure,275.07,84736.65
2024-04-02,Healthcare,Insurance,Health insurance premium,68.4,7418.27
2024-04-02,Transportation,Ride Services,Taxi fare,89.1,16246.260000000002
2024-04-02,Education,Supplies,School stationery,216.99,69472.56
2024-04-02,Housing,Mortgage,Monthly mortgage payment,227.86,92054.32999999999
2024-04-04,Debt Payments,Credit Card,Credit card bill payment,292.46,98146.84999999999
2024-04-05,Education,Supplies,School stationery,268.61,16246.260000000002
2024-04-05,Housing,Mortgage,Home loan installment,76.97,92054.32999999999
2024-04-06,Debt Payments,Credit Card,Card balance transfer,235.98,30554.81
2024-04-06,Savings/Investments,Emergency Fund,Rainy day fund deposit,232.74,63035.13
2024-04-06,Personal,Clothing,Casual wear purchase,171.67,105218.23
2024-04-08,Healthcare,Insurance,Health insurance premium,281.09,25457.760000000002
2024-04-08,Miscellaneous,Other,Miscellaneous purchase,115.46,37738.840000000004
2024-04-09,Education,Books,E-book download,130.95,7418.27
2024-04-09,Education,Books,Textbook purchase,223.25,12017.900000000001
2024-04-09,Healthcare,Insurance,Health insurance premium,149.06,52220.08
2024-04-09,Entertainment,Movies/Events,Concert tickets,288.89,63035.13
2024-04-09,Debt Payments,Loans,Student loan payment,184.64,69472.56
2024-04-09,Debt Payments,Loans,Personal loan installment,87.04,69472.56
2024-04-10,Entertainment,Movies/Events,Theater show,281.28,80314.7
2024-04-11,Shopping,Gifts,Birthday gift for friend,88.33,84736.65
2024-04-12,Housing,Rent,Rent for apartment,81.93,27950.58
2024-04-12,Entertainment,Hobbies,Art supplies,127.22,63035.13
2024-04-12,Education,Books,E-book download,109.24,84736.65
2024-04-13,Entertainment,Hobbies,Art supplies,70.39,63035.13
2024-04-13,Entertainment,Hobbies,Video game purchase,193.28,98146.84999999999
2024-04-14,Miscellaneous,Donations,Crowdfunding contribution,192.13,33346.05
2024-04-16,Savings/Investments,Emergency Fund,Rainy day fund deposit,99.51,25457.760000000002
2024-04-16,Transportation,Public Transit,Bus fare,242.6,92054.32999999999
2024-04-17,Food,Dining Out,Quick bite at McDonald's,129.01,25457.760000000002
2024-04-18,Miscellaneous,Travel,Travel insurance,226.86,27950.58
2024-04-18,Savings/Investments,Retirement,IRA deposit,123.17,45332.91
2024-04-18,Debt Payments,Loans,Car loan monthly payment,213.66,63035.13
2024-04-19,Food,Groceries,Fresh produce purchase,95.68,12017.900000000001
2024-04-19,Transportation,Public Transit,Bus fare,276.93,92054.32999999999
2024-04-20,Education,Books,Textbook purchase,57.35,45332.91
2024-04-20,Education,Tuition,Online course fee,62.72,52220.08
2024-04-20,Personal,Grooming,Manicure/Pedicure,200.68,63035.13
2024-04-21,Income,Rental income,Income for the day,4228.36,4228.36
2024-04-21,Housing,Utilities,Gas bill,158.64,45332.91
2024-04-21,Shopping,Gifts,Holiday shopping,236.58,63035.13
2024-04-21,Food,Dining Out,Dinner at McDonald's,200,84736.65
2024-04-22,Entertainment,Movies/Events,Theater show,145.89,63035.13
2024-04-23,Housing,Utilities,Phone bill,64.68,25457.760000000002
2024-04-24,Entertainment,Hobbies,Art supplies,161.56,25457.760000000002
2024-04-24,Transportation,Ride Services,Taxi fare,98.54,98146.84999999999
2024-04-26,Food,Groceries,Fresh produce purchase,224.66,105218.23
2024-04-27,Debt Payments,Loans,Car loan monthly payment,195.01,27950.58
2024-04-27,Miscellaneous,Pet Expenses,Pet food purchase,197.1,37738.840000000004
2024-04-27,Food,Dining Out,Dinner at McDonald's,133.52,76773.59999999999
2024-04-28,Entertainment,Movies/Events,Movie tickets,142.92,19142.030000000002
2024-04-28,Personal,Grooming,Spa treatment,123.23,52220.08
2024-04-28,Debt Payments,Loans,Student loan payment,93.11,69472.56
2024-05-02,Income,Freelance work,Income for the day,4392.79,4392.79
2024-05-02,Food,Groceries,Fresh produce purchase,219.51,105218.23
2024-05-04,Personal,Fitness,Sports equipment,238.72,37738.840000000004
2024-05-04,Food,Groceries,Supermarket run,171.4,76773.59999999999
2024-05-04,Transportation,Ride Services,Taxi fare,69.01,105218.23
2024-05-05,Food,Groceries,Fresh produce purchase,61.43,25457.760000000002
2024-05-05,Shopping,Gifts,Holiday shopping,138.0,76773.59999999999
2024-05-06,Miscellaneous,Travel,Hotel booking,68.1,45332.91
2024-05-06,Shopping,Electronics,Smart home device,158.54,69472.56
2024-05-07,Entertainment,Hobbies,Book buying,114.48,7418.27
2024-05-08,Housing,Mortgage,Monthly mortgage payment,281.15,19142.030000000002
2024-05-08,Personal,Clothing,New work outfit,291.2,55101.43
2024-05-09,Housing,Mortgage,Monthly mortgage payment,290.55,45332.91
2024-05-09,Entertainment,Subscriptions,Netflix monthly fee,87.2,45332.91
2024-05-09,Education,Supplies,Laptop for studies,128.11,55101.43
2024-05-09,Debt Payments,Loans,Car loan monthly payment,167.21,63035.13
2024-05-09,Education,Books,E-book download,85.31,76773.59999999999
2024-05-10,Shopping,Gifts,Anniversary present,233.54,45332.91
2024-05-11,Food,Dining Out,Dinner at McDonald's,261.29,105218.23
2024-05-13,Healthcare,Doctor Visits,Dentist appointment,248.06,27950.58
2024-05-13,Food,Dining Out,Dinner at McDonald's,200,30554.81
2024-05-13,Shopping,Gifts,Anniversary present,164.48,63035.13
2024-05-13,Entertainment,Movies/Events,Theater show,264.05,69472.56
2024-05-14,Shopping,Electronics,Smart home device,238.14,80314.7
2024-05-14,Entertainment,Hobbies,Book buying,132.63,98146.84999999999
2024-05-15,Housing,Mortgage,Monthly mortgage payment,69.64,12017.900000000001
2024-05-15,Education,Supplies,School stationery,183.53,25457.760000000002
2024-05-16,Food,Dining Out,Dinner at McDonald's,200,92054.32999999999
2024-05-17,Savings/Investments,Emergency Fund,Rainy day fund deposit,287.78,25457.760000000002
2024-05-17,Food,Dining Out,Dinner at McDonald's,200,37738.840000000004
2024-05-18,Transportation,Ride Services,Lyft trip,247.7,25457.760000000002
2024-05-18,Entertainment,Hobbies,Book buying,187.74,45332.91
2024-05-18,Education,Books,E-book download,271.13,52220.08
2024-05-18,Debt Payments,Credit Card,Card balance transfer,216.59,69472.56
2024-05-18,Entertainment,Movies/Events,Theater show,297.44,76773.59999999999
2024-05-18,Miscellaneous,Travel,Flight tickets,165.85,84736.65
2024-05-19,Shopping,Home Goods,Bedroom furniture,66.5,7418.27
2024-05-19,Debt Payments,Credit Card,Card balance transfer,298.51,52220.08
2024-05-19,Healthcare,Insurance,Health insurance premium,236.43,92054.32999999999
2024-05-19,Education,Books,Textbook purchase,171.22,105218.23
2024-05-20,Debt Payments,Loans,Personal loan installment,87.75,7418.27
2024-05-20,Entertainment,Subscriptions,Amazon Prime renewal,221.48,105218.23
2024-05-21,Housing,Mortgage,Home loan installment,211.96,37738.840000000004
2024-05-21,Debt Payments,Credit Card,Card balance transfer,255.42,69472.56
2024-05-22,Shopping,Electronics,Laptop upgrade,227.72,52220.08
2024-05-24,Transportation,Fuel,Electric car charging,228.74,27950.58
2024-05-24,Transportation,Fuel,Electric car charging,195.15,45332.91
2024-05-24,Housing,Mortgage,Home loan installment,82.25,80314.7
2024-05-24,Healthcare,Insurance,Health insurance premium,270.69,84736.65
2024-05-24,Healthcare,Doctor Visits,Annual check-up,117.39,84736.65
2024-05-26,Entertainment,Movies/Events,Theater show,84.17,19142.030000000002
2024-05-26,Food,Groceries,Weekly grocery shopping,141.1,25457.760000000002
2024-05-27,Education,Books,Textbook purchase,115.32,37738.840000000004
2024-05-28,Shopping,Gifts,Holiday shopping,188.62,76773.59999999999
2024-05-28,Miscellaneous,Travel,Travel insurance,256.42,105218.23
2024-05-29,Income,Investment returns,Income for the day,7418.27,7418.27
2024-05-29,Debt Payments,Loans,Personal loan installment,238.38,45332.91
2024-05-29,Personal,Fitness,Gym membership fee,159.73,52220.08
2024-05-29,Food,Groceries,Supermarket run,64.29,76773.59999999999
2024-05-30,Healthcare,Doctor Visits,Specialist consultation,230.04,16246.260000000002
2024-05-30,Food,Dining Out,"Coffee at Morris, Stewart and Johnson",237.3,33346.05
2024-05-30,Debt Payments,Loans,Student loan payment,190.08,76773.59999999999
2024-05-31,Personal,Grooming,Spa treatment,195.33,45332.91
2024-06-01,Food,Dining Out,Dinner at McDonald's,200,25457.760000000002
2024-06-01,Miscellaneous,Donations,Charitable donation,126.17,84736.65
2024-06-02,Housing,Mortgage,Home loan installment,282.32,63035.13
2024-06-02,Debt Payments,Loans,Car loan monthly payment,66.26,76773.59999999999
2024-06-02,Entertainment,Movies/Events,Theater show,65.19,76773.59999999999
2024-06-03,Housing,Mortgage,Monthly mortgage payment,240.52,52220.08
2024-06-04,Savings/Investments,Emergency Fund,Transfer to emergency savings,284.06,25457.760000000002
2024-06-04,Education,Supplies,Laptop for studies,162.14,27950.58
2024-06-04,Healthcare,Pharmacy,Prescription refill,173.8,80314.7
2024-06-05,Shopping,Electronics,New smartphone,212.97,52220.08
2024-06-06,Food,Dining Out,Dinner at McDonald's,200,16246.260000000002
2024-06-06,Housing,Rent,Rent for apartment,296.96,25457.760000000002
2024-06-06,Food,Groceries,Supermarket run,53.48,63035.13
2024-06-06,Debt Payments,Credit Card,Card balance transfer,286.32,92054.32999999999
2024-06-07,Education,Supplies,School stationery,144.61,30554.81
2024-06-08,Income,Salary,Income for the day,7071.38,7071.38
2024-06-09,Personal,Clothing,Shoes shopping,195.24,33346.05
2024-06-09,Healthcare,Pharmacy,Prescription refill,72.3,80314.7
2024-06-09,Personal,Grooming,Manicure/Pedicure,158.28,105218.23
2024-06-10,Transportation,Fuel,Gas station fill-up,63.12,45332.91
2024-06-10,Income,Salary,Income for the day,3541.1,3541.1
2024-06-10,Food,Groceries,Supermarket run,226.48,80314.7
2024-06-12,Personal,Fitness,Yoga class,70.65,52220.08
2024-06-13,Personal,Clothing,New work outfit,145.4,27950.58
2024-06-14,Miscellaneous,Donations,Charitable donation,199.67,12017.900000000001
2024-06-14,Food,Dining Out,Dinner at McDonald's,200,80314.7
2024-06-15,Personal,Grooming,Manicure/Pedicure,207.53,45332.91
2024-06-15,Shopping,Electronics,Laptop upgrade,170.79,55101.43
2024-06-16,Shopping,Home Goods,Bedroom furniture,157.43,7418.27
2024-06-16,Savings/Investments,Emergency Fund,Rainy day fund deposit,185.74,27950.58
2024-06-16,Food,Dining Out,Lunch at McDonald's,109.89,76773.59999999999
2024-06-16,Transportation,Ride Services,Taxi fare,266.51,84736.65
2024-06-17,Income,Freelance work,Income for the day,2791.24,2791.24
2024-06-17,Debt Payments,Loans,Personal loan installment,277.92,98146.84999999999
2024-06-18,Transportation,Public Transit,Monthly transit pass,257.17,7418.27
2024-06-18,Transportation,Fuel,Electric car charging,244.28,105218.23
2024-06-19,Debt Payments,Credit Card,Card balance transfer,102.19,52220.08
2024-06-19,Transportation,Fuel,Electric car charging,193.9,69472.56
2024-06-20,Entertainment,Subscriptions,Netflix monthly fee,165.4,63035.13
2024-06-21,Housing,Utilities,Internet service,137.84,19142.030000000002
2024-06-22,Food,Dining Out,Dinner at McDonald's,200,76773.59999999999
2024-06-23,Healthcare,Doctor Visits,Specialist consultation,160.09,7418.27
2024-06-23,Shopping,Home Goods,Kitchenware purchase,57.88,76773.59999999999
2024-06-24,Debt Payments,Credit Card,Credit card bill payment,114.88,52220.08
2024-06-25,Shopping,Home Goods,Home decor items,144.93,25457.760000000002
2024-06-25,Debt Payments,Loans,Student loan payment,167.39,37738.840000000004
2024-06-26,Entertainment,Movies/Events,Concert tickets,223.91,7418.27
2024-06-26,Debt Payments,Loans,Personal loan installment,215.64,7418.27
2024-06-27,Transportation,Public Transit,Bus fare,266.27,12017.900000000001
2024-06-27,Shopping,Electronics,New smartphone,121.27,69472.56
2024-06-29,Housing,Utilities,Internet service,270.18,37738.840000000004
2024-06-29,Income,Freelance work,Income for the day,7301.04,7301.04
2024-06-30,Savings/Investments,Retirement,IRA deposit,204.36,7418.27
2024-06-30,Shopping,Electronics,Laptop upgrade,231.83,12017.900000000001
2024-06-30,Miscellaneous,Travel,Flight tickets,105.99,63035.13
2024-06-30,Entertainment,Movies/Events,Concert tickets,85.11,63035.13
2024-07-01,Shopping,Home Goods,Home decor items,240.1,45332.91
2024-07-01,Housing,Mortgage,Home loan installment,87.3,92054.32999999999
2024-07-01,Shopping,Electronics,New smartphone,163.13,105218.23
2024-07-02,Transportation,Ride Services,Lyft trip,169.49,12017.900000000001
2024-07-03,Shopping,Electronics,New smartphone,113.26,69472.56
2024-07-03,Personal,Grooming,Manicure/Pedicure,233.42,92054.32999999999
2024-07-05,Healthcare,Doctor Visits,Annual check-up,281.0,52220.08
2024-07-05,Food,Groceries,Fresh produce purchase,264.46,52220.08
2024-07-05,Transportation,Ride Services,Lyft trip,293.53,69472.56
2024-07-05,Savings/Investments,Emergency Fund,Transfer to emergency savings,86.6,84736.65
2024-07-05,Healthcare,Pharmacy,Over-the-counter medicines,234.33,98146.84999999999
2024-07-06,Housing,Utilities,Water bill,119.28,45332.91
2024-07-07,Education,Tuition,Online course fee,138.42,16246.260000000002
2024-07-07,Entertainment,Subscriptions,Spotify subscription,289.06,76773.59999999999
2024-07-09,Income,Freelance work,Income for the day,6437.43,6437.43
2024-07-09,Food,Groceries,Fresh produce purchase,222.62,76773.59999999999
2024-07-09,Entertainment,Movies/Events,Concert tickets,282.69,105218.23
2024-07-10,Healthcare,Doctor Visits,Dentist appointment,286.95,55101.43
2024-07-10,Housing,Utilities,Electricity bill,123.55,98146.84999999999
2024-07-11,Shopping,Gifts,Birthday gift for friend,214.56,30554.81
2024-07-11,Food,Dining Out,Dinner at McDonald's,200,52220.08
2024-07-12,Transportation,Fuel,Gas station fill-up,216.74,7418.27
2024-07-12,Transportation,Ride Services,Uber ride,120.63,12017.900000000001
2024-07-12,Housing,Rent,Monthly rent payment,117.78,105218.23
2024-07-13,Personal,Grooming,Haircut and styling,176.41,12017.900000000001
2024-07-13,Miscellaneous,Donations,Charitable donation,197.51,63035.13
2024-07-14,Personal,Grooming,Haircut and styling,246.57,98146.84999999999
2024-07-15,Income,Investment returns,Income for the day,2492.82,2492.82
2024-07-16,Miscellaneous,Other,Unexpected expense,280.38,69472.56
2024-07-17,Entertainment,Movies/Events,Concert tickets,278.7,45332.91
2024-07-17,Personal,Grooming,Manicure/Pedicure,197.53,45332.91
2024-07-17,Entertainment,Movies/Events,Concert tickets,91.62,80314.7
2024-07-18,Debt Payments,Loans,Car loan monthly payment,166.64,69472.56
2024-07-18,Miscellaneous,Other,Unexpected expense,122.63,76773.59999999999
2024-07-19,Healthcare,Doctor Visits,Dentist appointment,110.8,105218.23
2024-07-20,Healthcare,Pharmacy,Over-the-counter medicines,162.95,12017.900000000001
